"1","서대문구 홍은2동 201-1 그랜드힐튼호텔 주변","71.57","37.588318","126.935878"
"2","서대문구 홍제1동 165-2 개성인삼농협 주변","203.99","37.587119","126.945884"
"3","서대문구 홍은2동 24-1 명숯불갈비 주변","133.84","37.582987","126.950127"
"4","서대문구 홍은2동 137-39 다복솔 고전방 주변","225.89","37.586928","126.946422"
"5","서대문구 홍은2동 201-1 그랜드힐튼 호텔 건너편 주변","31.07","37.588028","126.935684"
"6","서대문구 홍은동 48-48 유진상가 주변","75.37","37.591665","126.942145"
"7","서대문구 홍제동 266-60 김밥과 죽 주변","92.03","37.592091","126.945703"
"8","서대문구 홍제동 279-27 귀뚜라미 보일러 주변","73.28","37.595654","126.948933"
"9","서대문구 홍은동 165-2 네비게이션 A/S센타 주변","24.29","37.596308","126.939009"
"10","서대문구 홍은1동 441-1 홍은낚시 주변","46.72","37.594583","126.940818"
"11","서대문구 남가좌동 76-145 SK주유소 건너편 주변","50.06","37.573118","126.922846"
"12","서대문구 남가좌동 76-45 SK 주유소 주변","18.41","37.573593","126.92114"
"13","서대문구 북가좌동 378-15 선결 아파트 주변","55.95","37.576824","126.908699"
"14","서대문구 남가좌동 104 아씨방 주변","26.66","37.569431","126.930692"
"15","서대문구 홍은동 397-24 두영 빌딩 주변","31.84","37.580337","126.928704"
"16","서대문구 홍은동 342-16 SK 주유소 주변","88.19","37.584961","126.923605"
"17","서대문구 홍제동 355 금호빌리지 주변","82.06","37.58311","126.925104"
"18","서대문구 남가좌동 295-9 백화점 약국 주변","290.06","37.569597","126.93101"
"19","서대문구 홍은2동 402 솔뫼 뼈다귀해장국 주변","29.39","37.580553","126.927992"
"20","서대문구 북가좌동 418-22 한울뉴타운 아파트 주변","47.18","37.577289","126.90876"
"21","서대문구 창천동 112-5 엠뷰티아케데미 주변","234.51","37.556091","126.932462"
"22","서대문구 창천동 29-81 SHANEJEANS 주변","590.34","37.555217","126.938991"
"23","서대문구 대현동 90-85 호북맨 주변","371.05","37.556848","126.943592"
"24","서대문구 대현동 101-7 하나은행 주변","210.89","37.557627","126.942716"
"25","서대문구 연희동 353-100 jason car beanch b/d 주변","117.46","37.562321","126.927545"
"26","서대문구 연희동 163-7 family mart 주변","143.56","37.566896","126.930883"
"27","서대문구 연희동 188-5 전주식당 주변","90.74","37.566183","126.930227"
